t_us,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
36791128,36748675,0.5869140625,-0.01409912109375,-0.0780029296875,0.80572509765625,1,531,36749741,1015.541015625,23.399999618530273,-19.045839309692383,541,36791125,0,0,0.0,0.0,0.0,0,541
36842168,36800490,0.5869140625,-0.01409912109375,-0.07794189453125,0.8057861328125,1,532,36801556,1015.564453125,23.399999618530273,-19.23872947692871,542,36842165,0,0,0.0,0.0,0.0,0,542
36894094,36851675,0.58685302734375,-0.0140380859375,-0.07794189453125,0.8057861328125,1,533,36852741,1015.551513671875,23.399999618530273,-19.13303565979004,543,36894091,0,0,0.0,0.0,0.0,0,543
36940185,36903739,0.5869140625,-0.013671875,-0.077880859375,0.8057861328125,1,534,36904805,1015.543701171875,23.399999618530273,-19.066978454589844,544,36940182,0,0,0.0,0.0,0.0,0,544
36995187,36941490,0.58697509765625,-0.0137939453125,-0.0777587890625,0.8057861328125,1,535,36942556,1015.554931640625,23.399999618530273,-19.15945816040039,545,36995184,0,0,0.0,0.0,0.0,0,545
37042156,37000490,0.5869140625,-0.01373291015625,-0.0777587890625,0.8057861328125,1,536,37001556,1015.54150390625,23.389999389648438,-19.048480987548828,546,37042153,0,0,0.0,0.0,0.0,0,546
37093109,37051490,0.5870361328125,-0.013671875,-0.07763671875,0.80572509765625,1,537,37052556,1015.5478515625,23.399999618530273,-19.101327896118164,547,37093106,0,0,0.0,0.0,0.0,0,547
37145188,37103490,0.58709716796875,-0.01373291015625,-0.07763671875,0.8056640625,1,538,37104556,1015.55078125,23.399999618530273,-19.12510871887207,548,37145185,0,0,0.0,0.0,0.0,0,548
37191116,37155490,0.587158203125,-0.013671875,-0.07763671875,0.80560302734375,1,539,37156556,1015.536865234375,23.389999389648438,-19.011489868164062,549,37191113,0,0,0.0,0.0,0.0,0,549
37241134,37192675,0.58721923828125,-0.01361083984375,-0.07769775390625,0.80560302734375,1,540,37193741,1015.558837890625,23.389999389648438,-19.193809509277344,550,37241131,0,0,0.0,0.0,0.0,0,550
37293166,37245490,0.58721923828125,-0.0135498046875,-0.07769775390625,0.80560302734375,1,541,37246556,1015.534912109375,23.3799991607666,-18.995635986328125,551,37293163,0,0,0.0,0.0,0.0,0,551
37340161,37297675,0.587158203125,-0.01348876953125,-0.07769775390625,0.8056640625,1,542,37298741,1015.5546875,23.389999389648438,-19.15945816040039,552,37340158,0,0,0.0,0.0,0.0,0,552
37392146,37349740,0.58734130859375,-0.013671875,-0.07745361328125,0.8055419921875,1,543,37350806,1015.5380859375,23.389999389648438,-19.022058486938477,553,37392143,0,0,0.0,0.0,0.0,0,553
37444060,37401675,0.5872802734375,-0.013671875,-0.0775146484375,0.8055419921875,1,544,37402741,1015.5498046875,23.3799991607666,-19.1171817779541,554,37444057,0,0,0.0,0.0,0.0,0,554
37490158,37453924,0.58734130859375,-0.01361083984375,-0.0772705078125,0.8055419921875,1,545,37454990,1015.564697265625,23.3799991607666,-19.241371154785156,555,37490155,0,0,0.0,0.0,0.0,0,555
37545129,37491490,0.58740234375,-0.01361083984375,-0.07733154296875,0.80548095703125,1,546,37492556,1015.523193359375,23.3799991607666,-18.897869110107422,556,37545126,0,0,0.0,0.0,0.0,0,556
