t_us,state,batteryVoltage,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq,fin_cmd_rad
10936376,2,4.015429497,10935305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,66,10936371,1024.65625,27.55999947,-94.31759644,67,0,0,0,0,0,0,0,0,0
10943322,2,4.002539158,10942251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,67,10943317,1024.65625,27.55999947,-94.31759644,68,0,0,0,0,0,0,0,0,0
10946376,2,4.015429497,10945305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,68,10946371,1024.65625,27.55999947,-94.31759644,69,0,0,0,0,0,0,0,0,0
10952322,2,3.99609375,10951251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,69,10952317,1024.653564,27.56999969,-94.29381561,70,0,0,0,0,0,0,0,0,0
10958376,2,3.99609375,10957305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,70,10958371,1024.653564,27.56999969,-94.29381561,71,0,0,0,0,0,0,0,0,0
10965322,2,4.002539158,10964251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,71,10965317,1024.653564,27.56999969,-94.29381561,72,0,0,0,0,0,0,0,0,0
10968376,2,4.015429497,10967305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,72,10968371,1024.653564,27.56999969,-94.29381561,73,0,0,0,0,0,0,0,0,0
10972322,2,4.008984566,10971251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,73,10972316,1024.641113,27.55999947,-94.19340515,74,0,0,0,0,0,0,0,0,0
10978376,2,3.99609375,10977305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,74,10978371,1024.641113,27.55999947,-94.19340515,75,0,0,0,0,0,0,0,0,0
10985322,2,4.008984566,10984251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,75,10985317,1024.641113,27.55999947,-94.19340515,76,0,0,0,0,0,0,0,0,0
