t_us,state,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
26534060,4,26486480,0.16571044921875,0.0548095703125,-0.0128173828125,0.98455810546875,3,0.16796875,-0.55859375,0.21484375,1.0102142798117968e-39,9.184950914263446e-40,1.5478986662864722e-38,178,26487545,1026.505615234375,24.850000381469727,0.19024699926376343,180,26534057,0,0,0.0,0.0,0.0,0,179
26588060,4,26540271,0.16571044921875,0.0548095703125,-0.0128173828125,0.98455810546875,3,0.08203125,0.3125,0.0390625,1.0102142798117968e-39,9.184950914263446e-40,1.5478986662864722e-38,179,26541336,1026.5126953125,24.860000610351562,0.13211597502231598,181,26588057,0,0,0.0,0.0,0.0,0,180
26687060,4,26651582,0.16571044921875,0.0548095703125,-0.0128173828125,0.98455810546875,0,0.08203125,0.3125,0.0390625,4.2243235219873784e-39,1.009964848685147e-39,1.575652643541043e-38,180,26652648,1026.517333984375,24.860000610351562,0.09512349963188171,182,26687057,0,0,0.0,0.0,0.0,0,181
26740075,4,26704165,0.16571044921875,0.0548095703125,-0.0128173828125,0.98455810546875,0,0.08203125,0.3125,0.0390625,3.765314197013141e-39,1.0099031915527167e-39,1.5820370994743534e-38,181,26705230,1026.511474609375,24.860000610351562,0.14268524944782257,183,26740072,0,0,0.0,0.0,0.0,0,182
26785060,4,26743582,0.16571044921875,0.0548095703125,-0.0128173828125,0.98455810546875,0,0.08203125,0.3125,0.0390625,8.257809811312217e-40,9.190093679627518e-40,1.5975308362048536e-38,182,26744648,1026.53564453125,24.860000610351562,-0.0554887093603611,184,26785057,0,0,0.0,0.0,0.0,0,183
26838396,4,26796271,0.16571044921875,0.0548095703125,-0.0128173828125,0.98455810546875,3,0.140625,-0.046875,-0.48828125,8.257809811312217e-40,9.190093679627518e-40,1.5975308362048536e-38,183,26797336,1026.54052734375,24.860000610351562,-0.09776582568883896,185,26838393,0,0,0.0,0.0,0.0,0,184
26884297,4,26848582,0.16571044921875,0.0548095703125,-0.0128173828125,0.98455810546875,0,0.140625,-0.046875,-0.48828125,4.133086380273654e-39,1.0099326188204676e-39,1.6116901164077773e-38,184,26849647,1026.54248046875,24.8700008392334,-0.11361973732709885,186,26884294,0,0,0.0,0.0,0.0,0,185
26936060,4,26888271,0.1683349609375,0.072509765625,-0.00946044921875,0.9830322265625,0,0.140625,-0.046875,-0.48828125,4.133086380273654e-39,1.0099326188204676e-39,1.6116901164077773e-38,185,26889337,1026.5517578125,24.860000610351562,-0.19024699926376343,187,26936057,0,0,0.0,0.0,0.0,0,186
26984060,4,26942456,0.160888671875,0.084228515625,-0.01177978515625,0.9832763671875,0,0.140625,-0.046875,-0.48828125,4.133086380273654e-39,1.0099326188204676e-39,1.6116901164077773e-38,186,26943521,1026.509765625,24.8700008392334,0.15853917598724365,188,26984057,0,0,0.0,0.0,0.0,0,187
27037060,4,26995373,0.160888671875,0.084228515625,-0.01177978515625,0.9832763671875,0,0.140625,-0.046875,-0.48828125,nan,1.010189056439439e-39,1.6312553258263732e-38,187,26996438,1026.52978515625,24.8700008392334,-0.007926958613097668,189,27037057,0,0,0.0,0.0,0.0,0,188
27084307,4,27048480,0.160888671875,0.084228515625,-0.01177978515625,0.9832763671875,0,0.140625,-0.046875,-0.48828125,4.592363353254577e-40,9.184208226077354e-40,1.6420048264760553e-38,188,27049545,1026.5380859375,24.860000610351562,-0.07662726938724518,190,27084304,0,0,0.0,0.0,0.0,0,189
27136060,4,27088349,0.15948486328125,0.0849609375,-0.01177978515625,0.98345947265625,0,0.140625,-0.046875,-0.48828125,4.592363353254577e-40,9.184208226077354e-40,1.6420048264760553e-38,189,27089415,1026.572021484375,24.860000610351562,-0.3540708124637604,191,27136057,0,0,0.0,0.0,0.0,0,190
27183098,4,27141480,0.15948486328125,0.0849609375,-0.01177978515625,0.98345947265625,3,-0.171875,0.05078125,0.02734375,4.592363353254577e-40,9.184208226077354e-40,1.6420048264760553e-38,190,27142545,1026.521240234375,24.8700008392334,0.06341566890478134,192,27183095,0,0,0.0,0.0,0.0,0,191
