t_us,p_x,p_y,p_z,v_x,v_y,v_z,roll_deg,pitch_deg,yaw_deg,r_baro,r_gps_pos_x,r_gps_pos_y,r_gps_pos_z,r_gps_vel_x,r_gps_vel_y,r_gps_vel_z
7788513,5.257751,-3.234809,3.229252,12.763737,-9.295529,10.896454,0.000000,0.000000,0.000000,3.771847,-6.797400,5.300349,-3.192474,-18.811563,13.975160,-10.141598
7869577,4.587527,-3.140304,3.226547,9.763145,-8.757300,11.128056,0.000000,0.000000,0.000000,3.847615,-7.650455,5.216146,-3.116043,-22.441312,16.833518,-9.646663
7927577,3.591797,-2.552183,3.309848,5.342763,-5.831201,11.700470,0.000000,0.000000,0.000000,3.718999,-6.644348,4.962968,-3.190323,-18.725135,15.747486,-10.053427
7981513,5.106082,-3.828670,3.234003,12.503655,-11.455405,10.831545,0.000000,0.000000,0.000000,3.653558,-6.644348,4.962968,-3.190323,-18.725135,15.747486,-10.053427
8062643,4.481261,-3.436282,3.295980,9.596768,-9.060667,11.250344,0.000000,0.000000,0.000000,3.955104,-7.362288,5.840301,-3.175332,-21.704877,18.695022,-9.711860
8120643,6.739973,-5.300032,3.174988,18.791379,-16.296808,10.138925,0.000000,0.000000,0.000000,3.751287,-7.362288,5.840301,-3.175332,-21.704877,18.695022,-9.711860
8178577,4.743286,-3.224028,3.362145,10.158634,-7.250246,11.421950,0.000000,0.000000,0.000000,4.032896,-8.246244,7.364934,-3.158830,-24.750375,20.971681,-9.412577
8260643,4.396039,-2.715695,3.381563,9.295179,-5.912643,11.525154,0.000000,0.000000,0.000000,3.766096,-6.898031,5.713584,-3.279417,-19.852689,14.871406,-10.123483
8317643,6.662250,-4.420290,3.224451,18.925374,-13.502058,10.282641,0.000000,0.000000,0.000000,3.724692,-6.898031,5.713584,-3.279417,-19.852689,14.871406,-10.123483
8372382,4.677198,-3.250323,3.375262,10.197124,-8.459392,11.319128,0.000000,0.000000,0.000000,3.811467,-7.958300,5.552955,-3.233282,-24.289339,17.711063,-9.605219
8453643,4.329059,-3.165813,3.394710,9.191440,-8.263826,11.391825,0.000000,0.000000,0.000000,3.749995,-6.786235,5.081404,-3.331248,-19.824682,16.028198,-10.080928
8510513,6.578832,-4.988202,3.245633,18.902744,-15.856991,10.164836,0.000000,0.000000,0.000000,3.494044,-6.786235,5.081404,-3.331248,-19.824682,16.028198,-10.080928
8565577,4.648834,-3.524092,3.421507,10.179166,-8.959046,11.346039,0.000000,0.000000,0.000000,3.874879,-7.869875,6.175601,-3.279143,-24.300476,20.077383,-9.516863
8619577,6.991766,-5.406700,3.240952,20.131740,-16.705276,10.056732,0.000000,0.000000,0.000000,3.638689,-7.869875,6.175601,-3.279143,-24.300476,20.077383,-9.516863
8673513,4.830089,-3.220255,3.418364,10.506999,-6.967177,11.417248,0.000000,0.000000,0.000000,4.049815,-8.414457,7.374820,-3.228309,-26.028429,21.300968,-9.305961
8730513,3.728845,-2.164806,3.512527,5.330544,-2.308831,12.121928,0.000000,0.000000,0.000000,3.577671,-7.147203,5.780545,-3.376789,-21.006084,15.062529,-10.084244
8786513,5.463649,-3.402471,3.428042,13.985424,-8.958566,11.036982,0.009356,-0.000001,0.006238,3.751167,-7.147203,5.780545,-3.376789,-21.006084,15.062529,-10.084244
8867513,4.762419,-2.763358,3.459795,10.490691,-6.407680,11.422240,0.018420,0.024172,0.006245,3.986071,-8.199837,6.243406,-3.322574,-25.679964,18.000972,-9.506704
8924513,7.359292,-4.669516,3.260729,21.733833,-15.063595,9.943721,0.037558,0.024169,0.012624,4.006372,-8.199837,6.243406,-3.322574,-25.679964,18.000972,-9.506704
8978643,4.988085,-2.904397,3.405516,10.950064,-7.373781,11.239678,0.031501,0.018111,0.012620,4.052197,-8.964972,6.695715,-3.236449,-28.471307,20.229616,-9.052346
9060643,4.571478,-2.613935,3.397405,9.739233,-6.971251,11.282069,0.052778,0.021439,0.012621,4.213785,-7.302969,5.473305,-3.348940,-21.670515,15.678159,-9.830906
9118643,6.979787,-4.451714,3.250739,20.385593,-15.258703,9.937849,0.072249,0.014948,0.012614,3.700659,-7.302969,5.473305,-3.348940,-21.670515,15.678159,-9.830906
9173513,4.837056,-2.860519,3.399283,10.511913,-8.025018,11.187272,0.059870,0.020994,0.009599,3.956605,-8.530426,6.472399,-3.239125,-27.080879,20.481210,-9.047502
9255577,4.449885,-2.592274,3.426114,9.383610,-7.324481,11.310507,0.050681,0.030352,-0.002626,3.980804,-7.109692,5.448840,-3.375124,-21.339630,16.372495,-9.801066
9312513,6.946213,-4.531786,3.226449,20.870080,-16.234817,9.787267,0.047331,0.037053,-0.003606,3.813305,-7.109692,5.448840,-3.375124,-21.339630,16.372495,-9.801066
9367643,4.848137,-2.923833,3.383390,10.905703,-8.574311,11.097737,0.047343,0.037038,0.014903,3.983022,-8.480678,6.556424,-3.221220,-27.572696,21.492202,-8.894306
9422643,7.521582,-5.005210,3.137831,22.831768,-17.831609,9.478016,0.041184,0.043197,0.008752,3.861090,-8.480678,6.556424,-3.221220,-27.572696,21.492202,-8.894306
9480577,5.044901,-3.087763,3.346330,10.888218,-8.555632,11.088820,0.054352,0.040461,0.008749,4.146288,-9.252695,7.185054,-3.160565,-29.841411,23.304372,-8.605358
9561643,4.537562,-2.698300,3.355246,9.211437,-7.248931,11.259026,0.063424,0.013246,0.008721,3.839985,-7.470779,5.810862,-3.276639,-22.522623,17.550701,-9.529601
9616577,7.034497,-4.646564,3.117045,21.002315,-16.436035,9.638300,0.072697,0.007315,0.002463,3.873990,-7.470779,5.810862,-3.276639,-22.522623,17.550701,-9.529601
9674513,4.900970,-2.986383,3.285467,10.668388,-8.382271,11.031606,0.082531,0.000602,0.012287,4.049467,-8.734827,6.805831,-3.121304,-28.387203,22.196374,-8.676471
9728513,7.595710,-5.086750,3.015207,23.060520,-18.021692,9.305449,0.088574,0.000593,0.018330,3.834620,-8.734827,6.805831,-3.121304,-28.387203,22.196374,-8.676471
9783513,5.005793,-3.067692,3.213484,10.551370,-8.261057,10.999015,0.100883,0.006768,0.006031,3.879377,-9.325784,7.267505,-3.015530,-30.448711,23.784051,-8.322019
9840513,3.776940,-2.112380,3.295734,4.487961,-3.560024,11.803896,0.100883,0.006768,0.006031,3.763490,-7.579009,5.910709,-3.152034,-23.110595,18.103836,-9.316238
9894643,5.617081,-3.557361,3.131460,14.705789,-11.598416,10.395558,0.100883,0.006768,0.006031,3.859796,-7.579009,5.910709,-3.152034,-23.110595,18.103836,-9.316238
9976577,4.844161,-2.973787,3.152511,10.534742,-8.495738,10.923004,0.100883,0.006768,0.006031,4.018691,-8.605663,6.746321,-3.006779,-28.254428,22.305854,-8.537343
10058513,4.455769,-2.701154,3.155887,9.298444,-7.743682,11.052554,0.100883,0.006768,0.006031,3.875517,-7.328979,5.791851,-3.105824,-22.967994,18.414661,-9.241722
10115513,7.041028,-4.793548,2.943197,21.733573,-17.798885,9.367636,0.100883,0.006768,0.006031,3.883586,-7.328979,5.791851,-3.105824,-22.967994,18.414661,-9.241722
10169513,4.767682,-3.002667,3.121406,10.315139,-8.815453,10.928009,0.100883,0.006768,0.006031,3.932153,-8.649683,6.935416,-2.976641,-28.966432,23.699909,-8.403028
10232513,3.606866,-2.082168,3.303136,3.863026,-3.606268,11.974025,0.100883,0.006768,0.006031,3.593079,-7.462863,6.046704,-3.147620,-23.358755,19.375135,-9.300415
10286513,5.537379,-3.662014,3.102041,14.878516,-12.482902,10.384333,0.100883,0.006768,0.006031,3.801804,-7.462863,6.046704,-3.147620,-23.358755,19.375135,-9.300415
10367577,4.735994,-3.003261,3.142963,10.322458,-8.565484,11.017436,0.100883,0.006768,0.006031,3.816957,-8.639904,7.018574,-2.981644,-29.129854,23.913009,-8.418941
10421577,7.352960,-5.111247,2.919401,22.713062,-18.445466,9.328702,0.100883,0.006768,0.006031,3.722283,-8.639904,7.018574,-2.981644,-29.129854,23.913009,-8.418941
10478513,4.842455,-2.947253,3.220944,9.799717,-7.325830,11.298660,0.100883,0.006768,0.006031,3.735340,-8.784501,7.250390,-3.043429,-29.429573,23.787038,-8.565914
10560513,4.525479,-2.614561,3.233288,9.256384,-6.642164,11.346640,0.100883,0.006768,0.006031,3.695073,-7.237417,5.811895,-3.171706,-23.152482,17.926782,-9.452816
